CTF,CTF2,CTF3
0.134649,-0.324438,-0.8234
0.317523,1.1165,-0.81703
0.705091,-0.085416,-0.81843
0.946835,0.838079,-0.82634
0.990979,0.305577,-0.84606
0.826656,0.221347,-0.82523
0.486995,-0.282674,-0.81704
0.042859,0.08506,-0.83158
0.411543,0.238497,-0.82735
0.778604,0.064335,-0.82542
0.978282,-0.028194,-0.8442
0.965867,0.135048,-0.83624
0.742422,-0.027728,-0.831
0.35538,0.005127,-0.82126
0.111059,-0.040564,-0.83865
0.554003,-0.039629,-0.83271
0.874457,0.023961,-0.84619
0.999606,0.164552,-0.84933
0.899756,0.010595,-0.82684
0.595817,-0.059304,-0.812
0.155441,0.040607,-0.8247
0.321568,0.191631,-0.84338
0.725731,0.094227,-0.8254
0.963041,0.199746,-0.82921
0.977077,0.053183,-0.8294
0.762886,0.096529,-0.81222
0.369052,-0.005395,-0.82649
0.11279,-0.030201,-0.8173
0.56903,-0.090043,-0.8327
0.890698,-0.004684,-0.83662
0.999738,0.299983,-0.84411
0.868329,0.79584,-0.83835
0.52652,0.952056,-0.83522
0.055869,-0.011003,-0.83366
0.42951,0.149584,-0.82431
0.81053,-0.055773,-0.82473
0.992401,0.073891,-0.83211
0.928564,-0.028762,-0.84004
0.633164,0.055798,-0.83757
0.17853,0.061357,-0.83292
0.32207,0.07514,-0.82088
0.742363,0.119449,-0.83529
0.974953,0.245869,-0.84715
0.959127,-0.19727,-0.84017
0.69718,-0.146159,-0.83344
0.254917,0.523045,-0.82021
0.254366,-0.326176,-0.81972
0.698581,-0.093921,-0.83426
0.96108,-0.077235,-0.82949
0.97162,1.93523,-0.82629
0.725668,11.502487,-0.83734
0.286692,5.974468,-0.83711
0.229666,-0.517748,-0.84087
0.685641,-0.387637,-0.83902
0.958155,1.066632,-0.8344
0.972291,0.727972,-0.82501
0.722436,2.9E-05,-0.81356
0.274961,0.259262,-0.82047
0.248838,-0.211184,-0.837
0.705239,0.054989,-0.83346
0.967538,-0.027597,-0.8427
0.961525,-0.003907,-0.83083
0.687078,0.134097,-0.82662
0.219361,0.108334,-0.82945
0.31114,0.066616,-0.8142
0.754699,0.232459,-0.81594
0.984631,-0.150816,-0.81691
0.93385,0.151337,-0.82137
0.615056,0.095395,-0.83673
0.118364,0.092289,-0.8276
0.413619,17.680649,-0.81702
0.826438,0.192006,-0.8068
0.998726,-0.324223,-0.82162
0.878379,0.12972,-0.83269
0.498945,-0.015629,-0.84212
0.028938,0.205774,-0.82511
0.549292,1.500227,-0.83387
0.906682,4.244389,-0.83596
0.992854,0.099258,-0.84315
0.780108,0.180543,-0.83643
0.330902,-0.232643,-0.82421
0.219762,0.012124,-0.83643
0.704442,-0.108482,-0.84137
0.97416,-0.021325,-0.8369
0.944493,-0.116267,-0.83683
0.62273,-0.116508,-0.83612
0.106958,0.021317,-0.82725
